,0
25,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
26,Зеленський взяв під контроль отримання Україною вакцини від Covid-19 через @username 
27,У Кременчуці два нових випадки Covid-19\n\n25 липня в Кременчуці зареєстровано два нових випадки коронавірусноі хвороби. Захворіли чоловік 59 років і жінка 48 років. Вони госпіталізовані до інфекційного відділення ЛІЛ «Кременчуцька». Стан їхнього здоров‘я л 
28,"Тіло пацієнта з підозою на COVID-19 у індонезійському шпиталі. Після смерті, медики загорнули тіло у плівку і обробили дезінфектантом, аби завадити можливому поширенню інфекції.\n\nФото Joshua Irwandi, National Geographic "
29,Коронавірус в Україні станом на 26 липня: за добу кількість нових випадків перевалила за 900 #інфіковані #COVIDー19 #Україна
30, ️Плюс 920 випадків #covid19 за добу в Україні 
31,У КНДР заявили про першу підозру на COVID-19 у країні\n \n 
32,Коронавірус в Україні станом на 26 липня: за добу кількість нових випадків перевалила за 900 #інфіковані #COVIDー19 #Україна
33,Яка ймовірність заразитися Covid-19 у літаку: німецькі вчені оцінили ситуацію 
34,Північна Корея повідомила про перший випадок COVID-19 
35,В Україні зафіксовано 920 нових випадків коронавірусної хвороби COVID-19 
36,В Україні зафіксовано 920 нових випадків коронавірусної хвороби COVID-19 #ukraine
37,В Україні 25 липня виявили 920 випадків коронавірусу — всього за час епідемії COVID-19 зафіксували в 64 849 українців\n 
38,В Україні зафіксовано 920 нових випадків коронавірусної хвороби COVID-19 
39,В Україні 25 липня виявили 920 випадків коронавірусу — всього за час епідемії COVID-19 зафіксували в 64 849 українців\n 
40,В Україні 25 липня виявили 920 випадків коронавірусу — всього за час епідемії COVID-19 зафіксували в 64 849 українців\n 
41,В Україні за добу виявили 920 випадків COVID-19\n 
42,На ранок 26 липня в Україні підтверджено майже 65 тисяч випадків COVID-19 
43,В Україні за добу виявили 920 випадків Covid-19 
44,В Україні зросла кількість інфікованих: за добу виявили 1106 випадків COVID-19 
45,Найбільше нових випадків COVID-19 за добу - на Львівщині та в Києві\n 
46,На Полтавщині за добу підтвердили 6 нових випадків COVID-19 
47,На Полтавщині зафіксували 6 нових випадків COVID-19 
48,В Україні зафіксували 920 нових випадків COVID-19 - 
49,В Україні за добу виявили 920 випадків COVID-19 
50,"""Важкий"" і ""легкий"" коронавірус: лікар пояснив, чому люди по-різному переносять COVID-19\n #лікар #хвороба #covid #ТСН #новини"
51,Найбільше випадків COVID-19 зареєстровано на Львівщині та в Києві 
52,В Україні виявили 920 нових випадків COVID-19 \n\n 
53,На Тернопільщині знову є захворілі на COVID-19 
54,На Вінниччині – 37 нових випадків Covid-19 
55,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
56,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
57,"КНДР тільки тепер визнала, що у них теж є COVID-19 "
58,В Україні зафіксували 920 нових випадків COVID-19\n 
59,"Україна повинна бути серед перших країн, які матимуть змогу купити вакцину від коронавірусу - Зеленський\n #коронавірус #Зеленський #Україна #ТСН #новини"
60,В Україні виявили 920 нових випадків COVID-19 \n\n 
61,"13 601 особа померла на Львівщині за перші п’ять місяців 2020 року, в тому числі 55 - від COVID-19 \n\n "
62,За добу кількість нових випадків захворювання на Covid-19 перевалила за 900 \n \n #новини #новости
63,"Понад половина коштів з Фонду боротьби з COVID-19 підуть... на реконструкцію, ремонт та утримання автодоріг\n\n "
64,"""Важкий"" і ""легкий"" коронавірус: лікар пояснив, чому люди по-різному переносять COVID-19\n #лікар #хвороба #covid #ТСН #новини"
65,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 26 липня 
66,На Рівненщині - 34 нових випадки COVID-19 - 
67,"Єгипет буде безкоштовно лікувати українських туристів, які захворіють на Covid-19 "
68,"Кременчук, Полтава та 5 районів: за добу на Полтавщині підтвердили 11 випадків COVID-19 "
69,Майже половина зафіксованих на Рівненщині хворих на COVID-19 з Рівненського району хворих 
70,В Україні за добу виявили понад 900 нових випадків COVID-19 
71,У КНДР заявили про перший випадок COVID-19 
72,В Україні виявили 920 нових випадків COVID-19 
73,Понад 900 хворих за добу – скільки в Україні інфікованих Covid-19
74,Другий день без смертей: у Києві за останню добу 95 хворих на Covid-19
75,Колишній лікар харківського «Металіста» помер від COVID-19 - «СЛОБІДСЬКИЙ КРАЙ» 
76,Офіційна інформація Міністерства охорони здоров'я України станом на 26 липня 10:30\n\nЗа добу зафіксовано 920 новий випадок.\n⠀\n#sumygo #sumy #coronavirus #covidukraine #coronavirusukraine 
77,"На COVID-19 хворіє лише 0,09 % населення Волині - "
78,Зеленський взяв під контроль отримання Україною вакцини від Covid-19 через @username 
79,В Україні зафіксовано 920 нових випадків COVID-19 - 
80,#Здоровʼя24 COVID-19 у Києві: зафіксовано 95 нових випадків\n\n 
81,Число заразившихся COVID-19 в мире превысило 16 млн 
82,В Україні зросла кількість нових хворих COVID-19\n#Новини\n 
83,Зеленський взяв під контроль отримання Україною вакцини від Covid-19 через @username 
84,Жертви COVID-19 в Україні: скільки людей померли від початку пандемії\n 
85,Статистика COVID-19 за добу: на Харківщині – 40 нових хворих - «СЛОБІДСЬКИЙ КРАЙ» 
86,+920 нових випадків COVID-19 в Україні 
87,Львівщина знову стала лідером по кількості заражень Covid-19 #followback #новини
88,"#COVID19 На 26.07 Сумщина має 430 випадків (+19 (!!!) за добу). \n\nНовий антирекорд. Вітання голові ОДА с вічною маскою від носом та всім членам секти ""вірусу не існує"". Летимо :(\n\nВидужало 330 людей (+1 смт. Велика Писарівка).\n\nПомерло 7 осіб (+0). \n\nПродовжують хворіти 93 особи."
89,Виручка і середній чек: як COVID-19 змінив громадське харчування в Україні (Інфографіка)\n\nДеталі: 
90,Кількість випадків COVID-19 у всьому світі перевалила за 16 мільйонів - 
91,Коронавірус у Львові. Актуальна статистика підтверджених випадків захворювання на Covid-19 
92,Коронавірус в Україні. Актуальна статистика підтверджених випадків захворювання на Covid-19 
93,Львівщина знову стала лідером по кількості заражень Covid-19 через @username 
94,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 26 липня 
95,Львівщина знову стала лідером по кількості заражень Covid-19 через @username 
96,В Україні виявили 920 нових хворих на COVID-19\n 
97,"Зеленський: Україна повинна бути серед перших, хто зможе купити вакцину проти COVID-19\n "
98,"Україна повинна бути серед перших країн, які матимуть змогу купити вакцину від коронавірусу - Зеленський\n #коронавірус #Зеленський #Україна #ТСН #новини"
99,В Україні виявили 920 нових хворих на COVID-19\n 
100,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
101,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
102,В Україні виявили 920 нових хворих на COVID-19\n 
103,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
104,"Тіло пацієнта з підозою на COVID-19 у індонезійському шпиталі. Після смерті, медики загорнули тіло у плівку і обробили дезінфектантом, аби завадити можливому поширенню інфекції.\n\nФото Joshua Irwandi, National Geographic "
105,Прикарпаття. COVID-19 виявили у гравців футбольного клубу 
106,В Україні змінили протокол лікування COVID-19 
107,На Вінниччині за останню добу COVID-19 виявили в 11 медпрацівників 
108,Covid-19 в Україні: 920 нових заражень та 15 смертей 
109,Отже не буде ніякої вакцини. ЗЕленку пийте. 
110,У Полтавській області 60 хворих на COVID-19 — за добу зафіксували 6 нових випадків 
111,В Україні зафіксовано 920 нових випадків коронавірусної хвороби COVID-19 
112,У Кременчуці два випадки COVID-19\n 
113,Географія поширення нових випадків COVID-19 на Тернопільщині 
114,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
115,З протоколу лікування COVID-19 повністю виключили два препарати - Степанов\n 
116,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
117,"На Кіровоградщині померла жінка, в кої крім супутніх хвороб виявили COVID-19 - @username - Здоров'я #2020Липень #ukraine #новини #Україна #новости #Украина"
118,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
119,В Україні виявили 920 нових хворих на COVID-19\n 
120,"Протести проти Нетаньягу тривають в Ізраїлі вже кілька тижнів. У травні суд почав розгляд справи за звинуваченням прем'єра у хабарництві та шахрайстві. \n\nКрім того, демонстранти незадоволені хаотичною політикою Нетаньягу у боротьбі з поширенням COVID-19\n "
121,Можна фільм жахів зняти: ви потрапляєте в Україну і вас там лікують. 
122,В Україні за добу зафіксували 920 нових випадків COVID-19 - 
123,Статистика по коронавирусу \n \n#coronavirus #коронавирус 
124,Кількість хворих на COVID-19 зросла у 18 областях України та в Києві\n 
125,"У Києві за добу COVID-19 підтвердили у 95 осіб, зокрема у двох медиків\n "
126,З протоколу лікування COVID-19 повністю виключили два препарати - Степанов 
127,В мєнтів закінчуються гроші 
128,"""Важкий"" і ""легкий"" коронавірус: лікар пояснив, чому люди по-різному переносять COVID-19\n #лікар #хвороба #covid #ТСН #новини"
129,З протоколу лікування COVID-19 повністю виключили два препарати - Степанов #ukraine
130,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 26 липня 
131,Чому COVID-19 для декого минає непоміченим: пояснення лікаря 
132,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
133,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
134,У Києві виявили майже сотню нових хворих на COVID-19\n 
135,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
136,Спалах гострої респіраторної хвороби COVID-19 у 8 працівників центрального апарату Держлісагентства 
137,В Україні зафіксовано 920 нових випадків коронавірусної хвороби COVID-19 
138,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
139,З протоколу лікування COVID-19 повністю виключили два препарати - Степанов - 
140,"Вова, а ти точно президентом працюєш, чи контролером в якомусь трамвайному депо? "
141,Бажаю якнайшвидшого одужання Президенту Бразилії @username та бразильцям з діагнозом #COVID19. Україна підтримує Бразилію в боротьбі з масштабними наслідками пандемії. 
142,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
143,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
144,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 26 липня 
145,Covid-19 у Львівській області станом на 26.07.2020 
146,У Північній Кореї зафіксували першу підозру на Covid-19
147,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
148,"COVID-19 на Закарпатті: 67 нових випадків за добу, один летальний випадки випадків  за добу та один пацієнт помер."
149,Понад 900 хворих за добу – скільки в Україні інфікованих Covid-19 
150,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
151,Як Тайвань воює з дезінформацією щодо Covid-19 • Портал АНТИКОР 
152,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
153,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
154,У Північній Кореї зафіксували першу підозру на Covid-19 
155,В Україні за добу COVID-19 підтвердили у 920 людей: яка ситуація у Луганській області і в районі 
156,Степанов повідомив про зміни в протоколі лікування COVID-19\n#Новини\n 
157,"COVID-19 може привести до масової міграції людей коронавируса мільйони людей опинилися в злиднях. Глава Міжнародного Червоного Хреста вважає, що відкриття призведе до масових міграцій людей. "
158,Північна Корея повідомила про першу підозру на COVID-19 
159,"КНДР тільки тепер визнала, що у них теж є COVID-19 "
160,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
161,Новий антирекорд: у Чернігівській області +20 випадків COVID-19 
162,Степанов повідомив про зміни в протоколі лікування COVID-19\n 
163,Степанов повідомив про зміни в протоколі лікування COVID-19\n 
164,"Робота над помилками: з'ясували, що під час оновлення 22 липня, ми некоректно завантажили дані для низки областей. Сьогодні оновили дані та підрахунки. "
165,Аваков повідомив що на COVID-19 оформлено протокол 
166,Аваков повідомив що на COVID-19 оформлено протокол 
167,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
168,Аваков повідомив що на COVID-19 оформлено протокол 
169,Степанов повідомив про зміни в протоколі лікування COVID-19\n 
170,Аваков повідомив що на COVID-19 оформлено протокол 
171,COVID-19 було зарештовано як підозрбваного в терористичному акті в Луцьку
172,"Від COVID-19 помер лікар харківського ""Металісту"" та збірної України "
173,В Україні виявили 920 нових хворих на COVID-19\n 
174,В Україні виявили 920 нових випадків COVID-19 \n\n 
175,Львівщина знову стала лідером по кількості заражень Covid-19 через @username 
176,Степанов повідомив про зміни в протоколі лікування COVID-19\n 
177,В гуртожитку столичного вишу на COVID-19 захворіли 52 курсанти 
178,Поширення COVID-19 під час відпочинку на пляжах пов'язана із скупченням людей - 
179,Степанов повідомив про зміни в протоколі лікування COVID-19\n 
180,Він від наслідків ожиріння помер 
181,"13 601 особа померла на Львівщині за перші п'ять місяців 2020 року, зокрема, 55 – від COVID-19 \n\n "
182,"Статистика COVID-19 на Кіровоградщині за добу: Згідно з даними електронної системи моніторингу поширення COVID-19 в Україні, за минулу добу на Кіровоградщині  лабораторно підтверджено новий випадок захворювання на коронавірус. Статистика COVID-19 на… "
183,"За добу на Тернопільщині виявили понад півсотні хворих на коронавірусCтаном на 26 липня (за оcтанню добу) в Тернопільській облаcті за pезультатами 265 доcліджень діагноз COVID-19 лабоpатоpно підтвеpджений в 53 жителів Теpнопільщини. На жаль, 39 випадків ... "
184,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
185,"В Ізраїлі навчилися визначати COVID-19 по запаху дихання приблизно тисячі ізраїльських пацієнтів з COVID-19, дослідники змогли виявити запахи, пов'язані з вірусом. "
186,Матч Ман Сіті - Реал під загрозою зриву через рішення британської влади\nВ Іспанії знову росте кількість заражених COVID-19 \n\n 
187,МОЗ виключить Лопінавір і Ритонавір зі списку препаратів проти Covid-19 
188,это ваш журналист? 
189,У гуртожитку столичного вишу зафіксували спалах COVID-19 - 
190,"Поширення COVID-19 на відпочинку пов'язано зі скупченням людей, а не з водою,- вчені... "
191,Степанов повідомив про зміни в протоколі лікування COVID-19\n 
192,У одному з гуртожитків КПІ зафіксовано спалах коронавірусу: захворіли щонайменше 52 курсанти #КПІ #курсанти #Київ #гуртожиток
193,Курйоз дня: як таксисти захищаються від COVID-19 (ФОТО) 
194,У одному з гуртожитків КПІ зафіксовано спалах коронавірусу: захворіли щонайменше 52 курсанти #КПІ #курсанти #Київ #гуртожиток
195,"До 25% результатів ПЛР-досліджень на COVID-19 можуть бути хибно негативні, - Степанов "
196,Півінічна Корея вперше заявила про підозру на COVID-19\n 
197,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
198,З протоколу лікування COVID-19 повністю виключили два препарати - Степанов 
199,В Україні зафіксовано 920 нових випадків коронавірусної хвороби COVID-19 
200,У Баварії на фермі 174 сезонних робітників захворіли на COVID-19\n 
201,"Раніше Кім Чен Ин стверджував, що на території КНДР не виявлено жодного випадку зараження COVID-19 з початку пандемії \n "
202,На Сумщине заявили о антирекорде по COVID-19 
203,У МОЗ змінили протокол лікування COVID-19 
204,Луганщина: З початку карантину - 121 інфікований на COVID-19 
205,У одному з гуртожитків КПІ зафіксовано спалах коронавірусу: захворіли щонайменше 52 курсанти #КПІ #курсанти #Київ #гуртожиток
206,У Нововолинську від COVID-19 одужали 185 осіб - 
207,Півінічна Корея вперше заявила про підозру на COVID-19\n 
208,Луганщина: З початку карантину - 121 інфікований на COVID-19 
209,"КНДР тільки тепер визнала, що у них теж є COVID-19 "
210,У столичному гуртожитку КПІ – спалах COVID-19 #followback #новини
211,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
212,В Україні 25 липня виявили 920 випадків коронавірусу — всього за час епідемії COVID-19 зафіксували в 64 849 українців\n 
213,Дослідники навчили собак виявляти інфекцію COVID-19 – Україна онлайн 
214,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
215,"COVID-19 не передається через басейни і питну воду, - ЦГЗ "
216,"Робота над помилками: з'ясували, що під час оновлення 22 липня, ми некоректно завантажили дані для низки областей. Сьогодні оновили дані та підрахунки. "
217,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
218,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
219,За добу в Україні зафіксовано понад 900 нових випадків #COVID19 
220,Лікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть
221,"Бля, я все проїбав. "
222, #доба #doba\nУ лікарнях Тернополя – 40 хворих на COVID-19
223,#Здоровʼя24 Нова технологія зможе миттєво розрізняти інфікованих COVID-19 за допомогою смартфону\n\n 
224,"Летальність від коронавірусу COVID-19 в Україні становить 2,5%, - ЦГЗ "
225,"Летальність від коронавірусу COVID-19 в Україні становить 2,5%, - ЦГЗ "
226,У 20-25% випадків ПЛР-тест на COVID-19 може давати хибно негативний результат – МОЗ\n 
227,Північна Корея вперше заявила про COVID-19\n#Новини\n 
228,"У КНДР заявляють, що виявили перший випадок підозри на COVID-19\n "
229,У 20-25% випадків ПЛР-тест на COVID-19 може давати хибно негативний результат – МОЗ\n 
230,44 випадки за добу та 30 важкохворих: COVID-19 знову набирає обертів на БуковиніВідомо з яких районів нові хворі. 
231,У 20-25% випадків ПЛР-тест на COVID-19 може давати хибно негативний результат – МОЗ\n 
232,#Здоровʼя24 Нова технологія зможе миттєво розрізняти інфікованих COVID-19 за допомогою смартфону\n\n 
233,Надання допомоги по запобіганню поширення захворюваності на коронавірусну інфекцію COVID-19\n 
234,"З протоколу лікування COVID-19 повністю вилучили два препарати, дексаметазон можна використовувати тільки під "
235,"Летальність від COVID-19 в Україні становить 2,5%, - ЦГЗ "
236,Півінічна Корея вперше заявила про підозру на COVID-19\n 
237,Зеленський взяв під контроль отримання Україною вакцини від Covid-19 
238,"У МОЗ пояснили, чи можна заразитися COVID-19 під час купання "
239,"Медики заявили, що COVID-19 не передається через басейни та питну воду - "
240,Посольство РФ в Києві приховує виявленні випадки COVID-19 серед своїх робітників\n 
241,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
242,"Стало відомо, чи можна заразитися коронавірусом через воду в басейнах, спа-центрах і на пляжі\n #пляж #басейн #спа #вода #ТСН #новини"
243,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
244,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
245,"""Мляві та слабкі вареники"": Настя Івлєєва назвала симптоми COVID-19 її та Елджея\n #Івлєєва #Елджей #симптоми #гламур #ТСН"
246,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
247,Носіння маски може знижувати ризик передачі COVID-19 на 50-80% 
248,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
249,Майже 65 тис. випадків Covid-19 та спалах на Хмельниччині: що відбувається в Україні 26 липня 
250,Чи поширюється Covid-19 через воду у басейнах та джакузі 
251,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
252,В гуртожитку КПІ сильна спалах COVID-19 — КМДА\n#Новини\n 
253,Минула доба нових виявлених випадків COVID-19 на Черкащині не принесла 
254, Влада Британії визнала допущені помилки в боротьбі з коронавірусом\n Власти Британии признали допущенные ошибки в борьбе с коронавирусом\n British authorities admit mistakes in the fight against coronavirus\n на NewsforRight
255,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
256,"Медики заявили, що COVID-19 не передається через басейни та питну воду • Портал АНТИКОР "
257,Маска зменшить кількість вірусу який потрапить в організм при зараженні. В штатах на м'ясопереробних заводах вже були спалах де безсимтомними носіями було більше 90% хворих(маски в них ще до пандемії були обов'язковими). 
258,Станом на вечір 26 липня на Рівненщині зареєстровано 44 нових випадки захворювання на COVID-19 
259,"Кількість заражених COVID-19 зросла в 18 областях України і в Києві, - РНБО\n\n "
260,"Новини про коронавірус 26 липня: 16 мільйонів хворих у світі, спалах COVID-19 у КПІ\n\n "
261,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
262,"Ярно Хабіхт, голова представництва ВООЗ в Україні: Ми розподілимо по світу 2 млрд вакцин від COVID-19 "
263,На Рівненщині 44 нових випадки COVID-19 - 
264,"В гуртожитку КПІ спалах коронавірусу. Захворіла третина мешканців\nУ одному з гуртожитків лабораторно підтверджено 52 випадки захворювання на COVID-19 серед 152 курсантів, що в ньому проживають"
265,До 25% негативних тестів на COVID-19 можуть бути недостовірними 
266,COVID-19 виявили у Голосіївському районному суді Києва 
267,Пандемія COVID-19 в Україні. Інформація на ранок 26 липня 
268,За добу виявили нових 20 хворих на COVID-19\n 
269,"Майже чверть тестів на COVID-19 показує хибний негативний результат ілюстративне У деяких випадках ПЛР-тестування може не виявляти коронавірус, навіть якщо він є в організмі. Про це повідомляє міністр охорони здоров'я Максим Степанов,- інформує ... "
