,0
10,"Özlem Türec von Biontech: die PATENFREIGABE bringt keine schnelle Produktionssteigerung. Es bedarf 50.000 Arbeitsschritte, die professionell durchgeführt werden müssen. Hier liegen auch Risiken!!! "
11,"Gemeinschaftspraxis Dr. Kraul aus Schmalkalden hat sich aufgrund Sicherheitsbedenken dazu entschlossen, keine Covid19-Impfungen mehr anzubieten.\n "
12,"Europa muss sich auf niedrige Fallzahlen als Ziel verständigen, um #COVID19-Pandemie in den Griff zu kriegen; das hat nur Vorteile. So die Position vieler Forschenden um @username im @username Press Briefing dazu inkl. Transkript und Mitschnitt: "
13,Bröckelt das Corona-Narrativ? In Großbritannien starben 23 Prozent “mit” und nicht “an” COVID-19 
14,SARS-CoV-2-Infektionszahlen aus dem Kreis #Steinburg am 12.01.2021:\n\nNeue Fälle gemeldet: 20\nFälle kumulativ: 984\nVerstorbene (kum.): 19\n\n7-Tage-Inzidenz: 70.2\nSterblichkeitsrate: 1.9 %\n\n#SchleswigHolstein #SARSCoV2 #COVID19 #COVID19de
15,Nach #Macron hat auch #Biden die #Corona Pandemie für beendet erklärt. Nur in #Deutschland werden die Bürger von #Lauterbach und Konsorten weiter schikaniert.\n\n#Maskenpflicht #COVID19 #hartaberfair
16,#COVID19 #Bundestag Liebe Grüße und vielen Dank für die Einführung der Zweiklassengesellschaft. F... Eu... Gute Nacht
17,+ Zwei Wochen nach Maskeneklat: AfD-Politiker wohl mit Covid-19 in Klinik 
18,"Ein langer aber lesenswerter Thread, warum uns die Parteien zu weinige oder gar keine Optionen mehr anbieten und warum das schlecht für unsere Demokratie ist: "
19,"Guter Thread. Kernproblem bei Verwaltungsdigitalisierung: Auf der einen Seite stehen „Leuchtturmprojekte“, die gerne Stand der Forschung sein wollen. In der Breite fehlt es aber an der Umsetzung schon der anerkannten Regeln der Technik. "
20,"#China #COVID19 #Impfzwang \n Die chinesische Regierung zwingt Kinder im Alter von 3 bis 11 Jahren zu einer ""obligatorischen"" Coronavirus-Impfung. \n "
21,"Wir sind mittlerweile in der öffentlichen Wahrnehmung so weit, dass selbst die Medien auf den ""Protest"" gegen die notwendigen Maßnahmen aufspringen. Als ausgebrannter Mitarbeiter in einer ITS muss einem doch so langsam der Hass auf die Gesellschaft hoch kommen. #NoCovidJETZT "
22,"""Was bringt uns denn die COVID-19 Impfung eigentlich?"" \nSehr viel. z.B. sterben weniger Menschen an COVID. #ImpfenSchuetzt.\n "
23,Europa bekommt den dritten Corona-Impfstoff: Die Zulassung des Präparates von #Astrazeneca ist erteilt. Er ist billig und handlich. Aber: Wann wird geliefert? #coronavirus 
24,"#Laschet beschädigt sich selbst. Tag für Tag, seit es die #COVID19 #Pandemie gibt."
25,"Entgeltfortzahlung auch für Ungeimpfte\n\nErkrankt ein Arbeitnehmer als Folge grober Fahrlässigkeit, kann der Arbeitgeber die Entgeltfortzahlung verweigern. Bei Ungeimpften, die an Covid-19 erkranken, ist das derzeit in der Regel nicht möglich.\n "
26,ein kleiner Pieks für die Menschheit...\n~ \n\n#covid19 #getvaccienated \n 
27,"Bisher haben knapp 62% mindestens eine Impfung. Wenn 19% noch erreichbar sind, ist das gar keine so schlechte Nachricht, wie sie zunächst klingt. "
28,FDA went flexible to mitigate shortages during COVID-19 
29,DGAP-Adhoc: DGAP-Adhoc: Sensirion Holding AG: Ramp-ups von neuen Produkten und COVID-19 bedingte Nachfrage nach 
30,Da kann man Israel nur gratulieren. Aber: auch wenn wir nicht annähernd so schnell impfen können: mit einem sehr konsequenten Lockdown können wir ähnlich gut durch die 2. Welle kommen. Das muss unser Ziel sein. 
31,"Es leben über 3 Millionen Menschen unter 19 nur in NRW, wo die Regierung #Laschet eine Durchseuchung aller Kinder forciert.\n0,03 %... klingt nicht viel...\n0,03 % von 3 Millionen sind 900... 900! nur in NRW.\nZehntausende mit lebenslangen Folgen.\nEin Vielfaches der Contergan-Opfer. "
32,"Auf dem Bild ist meine Lebenspartnerin zu sehen. Wir waren mit den Kindern spazieren um die Lichter von Basel wiedermal zu sehen. Sie hatte vor mehr als 2.5 Monaten das #Coronavirus mit einem schweren Verlauf. Seihet ist kein Alltag möglich: u.a. Schwindel, Übelkeit, Ohnmacht. "
33,"Ugurs #Impfung verringert das Risiko, an #COVID19 zu erkranken. Soweit, so klar. Konkret erhöht sich laut Testdaten die Wahrscheinlichkeit, nicht zu erkranken, von 99,9907% auf 99,9995%. Ihr seht: Ohne Impfung wären wir verloren! "
34,Die Berechnung in dem Artikel vom 5.2.2021 sind genau so eingetreten. Und #Laschet ist überrascht. Interessant auch die Modellrechnung falls damals die richtigen Weichen gestellt worden wären. Dann wären wir jetzt bei einer Inzidenz von unter 5. 
35,Der Bundesgesundheitsminister fordert sofortigen Lockdown.\n\nKarl Lauterbach fordert sofortigen Lockdown.\n\nWissenschaftler fordern sofortigen Lockdown.\n\nVerband der Intensivmediziner fordert sofortigen Lockdown.\n\nAUF WESSEN RAT WARTET IHR?\nBATMAN?!\n\n#COVID19 #harterLockdownJetzt
36,Neue Coronavirus-Variante: Bundesregierung will Reiseverkehr mit Großbritannien einschränken #Eilmeldung
37,#COVID19 #COVID19at Inzidenzen aus verschiedenen Quellen 
38,Coronavirus: Berlin war eng in Impfstoff-Beschaffung der EU eingebunden \n\n via @username
39,"Stoppt #COVID19, die @username und die @username /@username #noANTIFA #noGRUENE"
40,"In #Martigny ist das Spital voll, und die Leichenhallen auch. Die Trauerfamilien werden gebeten, die Leichen so schnell wie möglich abzuholen: \n #coronavirus #COVID \n@username @username @username @username @username @username @username "
41,"#Superspreader im #Klassenzimmer\nAI-Experten haben per Modellierung einen Mindestabstand in Innenräumen berechnet:\n 1,5 Meter sind - auch in Räumen mit großem Raumvolumen - unzureichend.\nAb 4 Metern #Abstand zueinander vermindert sich die Infektionsgefahr\n "
42,"Der Vergleich mit den Gummibärchen ist treffend - jeder Kinderwagen, Autositz, Spielzeug, etc. wird max. auf Sicherheit getestet, alle Produkte müssen Bio sein - wenn es um Kinder geht, wird jedes noch so minimale (auch nur theoretische Risiko) eliminiert* - aber #Covid19 ist ok? "
43,Hilfeangebot an die EU aus Russland. \nAusgerechnet in Zeiten der Lieferkürzungen.\n\nWas.für.ein.Zufall.\n\n#COVID19 #Impfungen #Impfstoffmangel \n\n 
44,Erstmals über 2.000 Neuinfektionen hatten wir auch am 22.10.20. Damals dauerte es keine 2 Wochen mehr bis zum Lockdown. 
45, Das ist #Covid19 
46,Lockdown inkl geschlossener Schulen und Notbetreuung bei Bedarf bis mind 10. Jan\nWarum wird das hier nicht endlich gemacht @username @username \nStattdessen Touris inkl mehr Viren zum verkaufsoffnen Sonntag nach NRW einladen 
47,"""Erkrankt man an Covid 19, bekommt also vom Arzt die Arbeitsunfähigkeit attestiert, greifen nicht mehr die Regeln des Infektionsschutzgesetzes, sondern das des Entgeltfortzahlungsgesetzes, das die Lohnfortzahlung im Krankheitsfall regelt."" "
48,"Ist n bisschen wie so'n alter Radio-Eriwan-Witz:\n\nF: Stimmt es, dass Genosse Spahn 8000 neue Pflegekräfte geholt hat?\nA: Im Prinzip ja. Aber es waren nicht 8000, sondern 9000, und sie sind auch nicht gekommen, sondern gegangen. "
49,"(1) Die @username bringt es auf den Punkt. Jetzt sind die Covid Intensivstationspatienten im Durchschnitt 58. Die Stationen sind bald voll. Die 40-70 Jährigen rechnen noch gar nicht damit, demnächst vielleicht wochenlang dort behandelt werden zu müssen oder sogar zu sterben. "
50,"Die vielfältigen histologischen Veränderungen in dieser Studie deuten darauf hin, dass die Skelettmuskulatur ein Hauptziel von #SARSCoV2 sein könnte, das muskuläre Post-COVID-19-Symptome verursacht. Die mitochondrialen Veränderungen, Entzündungen…\n\n#COVID19\n#LongCovid\n#Corona"
51,"In Großbritannien breitet sich die neue Variante des Coronavirus unkontrolliert aus. Die Regierung fleht die Bevölkerung an, sich endlich an die Maßnahmen zu halten. "
52,"Geri Foitik: FFP2 Maskenpflicht in den eigenen 4 Wänden. Am besten ununterbrochen testen. Zuverlässigkeit beim Testen und Impfen liegt bei ca. 80 bis 90 %. Laut AGES Dashboard Covid-19 Todesfälle, gibt es so gut wie keine Todesfälle unter 55 Jahren. Das Volk ist verwirrt."
53,"*Die Situation der mit Covid19 infizierten Kolleg. der \n@username \n\nKurve steigt nicht mehr so stark, aber weiter sehr deutlich - Wünsche allen Betroffenen eine zeitnahe Genesung/Rückkehr\n\nAktuell:\n*441 infizierte Kolleg. (+42 zur Vorwoche)\n*33 weitere in Quarantäne (+11)"
54,"Hat die Märchenstunde ein Ende, das Kinder durch #coronavirus weniger betroffen sind? #Hamburg"
55,LAGEBERICHT AUS DEN KLINIKEN\n\n21.12.20\n\nCOVID-19-Patienten\nQuarantäne\nCOVID-19\n\nKlinikum\nNormalstation\nIntensivstation\nmedizin. 
56,"#Ballweg will bis zum Frühjahr keine #Querdenken Demos mehr anmelden. #Coronaleugner:innen haben vermutlich Legitimationsprobleme, weil die Covid19-Krankheit, die es ja nicht gibt, zu viele Menschen tötet. Jetzt wollen sie wohl lieber abwarten. #Corona "
57,Bundeswehr-Soldaten in jedem 2. Gesundheitsamt eingesetzt\n\nLandesweit geraten Gesundheitsämter bei der #Corona-#Kontaktverfolgung ans Limit.\nAuch Truppenkliniken richten sich auf eine Eskalation der Krise ein.\n\n#COVID19 #lockdown #maskeauf\n via @username
58,"#GrünerPassepartout ?\nEin einheitlicher Impfpass soll schon in diesem Sommer eingesetzt werden. Der sogenannte ""Grüne Pass"" soll Auskunft darüber geben, ob eine Person das Coronavirus weiterverbreiten kann oder zumindest wie wahrscheinlich dies ist.— RT DE "
59,"und andere haben immer wieder gut erläutert, warum allein das Risiko durch COVID19 zu versterben, über alle Altergruppen 5-10 mal höher ist. Aber nicht nur das, sondern grade die chronischen Verläufe nach Infektionen treffen Kinder &amp; ihre Eltern ungleich härter. "
60,"Drosten, warum traue ich Ihnen nicht über den Weg? Könnte es daran liegen, dass Sie sich so oft widersprechen und Dinge versprechen, die nicht eintreten?\n#PCRtest #Neuinfektionen\n#Maskenpflicht #2Welle\n\n "
61,"Und plötzlich frage ich mich, ob die Beatmung meines Vaters auf der Intensiv beendet wurde, damit das Gerät an einen jungen #Covid19 Erkrankten gehen konnte? Mein Vater mag in Frieden ruhen, ich finde keinen Frieden! #ZeroCovid Hört mit der #Durchseuchung auf! #SchulenUndKitasZu"
62,#Covid_19-Impfstoffe bieten keinen absoluten Schutz. Das zeigt derzeit der Corona-Ausbruch in einem Pflegeheim in #Heidenheim. Das weiß die Forschung zur Ansteckungsgefahr mit dem #Coronavirus nach der #Impfung: 
63,"Tja Frau Schulze, bei Ihrem Baby wird’s schwierig mit impfen. Biontech wirkt wohl nicht "
64,"Die Zahl der in der @username vermeldeten Infektionen wird für Nutzer nun ""salient"" gemacht. Dieser Schuss kann nach hinten losgehen. Wenn diese Zahl fällt, dann kann entweder (a) die Zahl der Neuinfektionen oder (b) die Bereitschaft zum Teilen zurückgegangen sein. (1/3) "
65,"Wer sich an die heute bereits geltenden Regeln hält, hat sowieso kaum Grund um 21 Uhr noch auf der Straße zu sein. Was soll die künstliche Aufregung über eine #Ausgangsbeschränkung? #illner #coronavirus"
66,COVID19 sind Kulturen und Grenzen egal. Das haben die vergangenen Monate klar gezeigt. Selbstverständlich lässt sich dieses Problem nur mit einer gemeinsamen Anstrengung lösen. Und da die meisten Länder Europas entweder direkt durch Krankheit und Tod oder indirekt durch...
67,"Der moralisch makellose neue Mensch: Ernährung vegan, fährt nur Fahrrad, ist 4x gegen #COVID19 geimpft, trägt ständig #Maske , schaut keine #WM2022, findet #Klimakleber toll und ist auch sonst beziehungsunfähig."
68,"Ich schwöre, ich hab das so oft zuhause getanzt dieses Jahr #jerusalema "
69,Kluster PH .. 
70,Da bist du nicht der Einzige!\n 
71,Es ist einfach nur schockierend. 
72,"(1) Diese Zusammenfassung beschreibt gut die Lage in UK derzeit, stimme Analyse zu. Was bedeutet das für uns und Entscheidung über Fortsetzung des derzeitigen Lockdown? Zunächst: was ist neu? Die UK Variante B.1.1.7. wird wahrscheinlich bald auch in Deutschland Problem. Wieso? "
73,Beide Beschlüsse sind richtig und sehr wertvoll. Die Impfung der Kinder schützt den Lernerfolg des Schuljahres. Die Drittimpfung der Älteren schützt diese vor Impfgegnern. Ein guter Tag gegen die Delta Variante 
74,"FALSCHMELDUNG auf Focus online:\n ist nicht richtig, dass es seit langen keine zweistellige Anzahl Covid19 Toter in Deutschland gab.\nEinmal pro Woche meldet die JHU zweistellig.\nam 8.8. 2020 14Tote\nam 15.8.2020 13 Tote"
75,"#England \n#Brexit \n@username Regierung hat Aufrufe zur Verlängerung der #Brexit-Übergangsfrist nach einer »Störung« abgelehnt, die durch die Entdeckung eines sich schneller ausbreitenden #Coronavirus-Stammes verursacht wurde.\n\n@username \n \n "
76,"Dieses Beispiel zeigt, was möglich ist mit den Kontroll-Systemen die grad weltweit ""zu unserem Schutz"" eingeführt werden. #GreatReset #COVID19 #QR #bankrun \n "
77,"Portugal hatte Ende Januar eine Sieben-Tage-Inzidenz von 840. Echter, harter Lockdown (nachdem lange kaum Maßnahmen galten), jetzt 29. "
78,"So gut, dass wir gelernt haben mit dem Virus zu leben &amp; endlich wieder Normalität herrscht! Bestimmt ja auch nur milder Personalmangel. #SARSCoV2 #COVID19: 60 Prozent der Kliniken müssen wegen Corona Operationen verschieben via @username"
79,Corona-Liveblog: ++ Kurz warnt vor dritter Welle ++ #Liveblog #Coronavirus
80,"I. ""US-Seuchenschutzbehörde korrigiert Covid-19-Zahlen: Nur rund 9.200 starben an Corona (...) Das CDC stellte jetzt fest, dass nur 9.210 Amerikaner tatsächlich an Covid-19 gestorben seien und nicht über 180.000, wie zuvor angegeben."" Siehe II."
81,"Noch ist der Winter fern, doch schon jetzt hat die Zahl der #Covid19-Patienten auf Intensivstationen die 1.000 überschritten. Jeder zehnte Betroffene ist unter 40 Jahren. #VierteWelle "
82,"Das Wissen großer Teile der Öffentlichkeit zu COVID-19 schätzen die Expert:innen als angemessen ein. Sie leiden jedoch extrem unter der (i.E.) kleinen, aber lauten Gruppe von Wissenschaftsskeptiker:innen. Sie belastet das harsche Feedback auf ihre medialen Auftritte enorm. 6/12"
83,"Wieder ein lesenswerter #coronavirus Beitrag von ⁦@username Weil die Politik kaum darüber redet und sich lieber auf die Jüngsten konzentriert, dürfte auch die folgende Statistik kaum zu Kenntnis genommen werden: "
84,Corona: Neues Vergabeverfahren für stornierte Impftermine | - Nachrichten - Schleswig-Holstein - Coronavirus 
85,"Fast 6000 Unterschriften. #sicherebildung #sicherebildungjetzt #solingerweg \n„Kein Präsenzunterricht in Niedersachsen, solange Covid-19 nicht unter Kontrolle ist” - Jetzt unterschreiben! via @username"
86,Am Abend: #CoronaVirusUpdate @username spricht mit @username im Podcast von @username über die angepassten Impfstoffe (bivalent BA.1 und BA.5). Vielen Dank! 
87,"Offizielle Antwort der Behörden in der Schweiz: \n""Der Prozess werde damit «möglichst kosteneffizient» gestaltet.""\n "
88,"Nicht impfen aus Angst vor Blutgerinseln, erhöht die Gefahr von Blutgerinseln. "
89,Die Krankheiten sind nur schwer direkt zu vergleichen. Das machtbauch bie covid19 und Grippe nur bedingt Sinn
90," + öamtc. da wird einem schlecht \nPongau 471 (-29), Tennengau 314 (-4), Lungau 91 (-3), Stadt Salzburg 746 (-14), Flachgau 827 (-41) und Pinzgau 396 (-13). "
91,"Aber PCR-Pooltests sind sicherlich zu aufwendig, wie in #Sachsen. Lieber wieder alles eskalieren lassen. "
92,+++ EIL: Robert Koch-Institut: Delta-Variante des Coronavirus dominiert jetzt in Deutschland +++
93,"1/ Viele Diskussionen um #SARSCoV2 / #COVID19 sind recht abstrakt und drehen sich v.a. um Infektionsrouten und die Epidemiologie. Außerdem immer wieder die Frage „Könnt ihr das #Coronavirus überhaupt nachweisen, oder nur ‘Genschnipsel‘ mit der ‘Drosten-PCR’?“ Hier ein paar Infos! "
94,Zeigt sich auch schon in Berlin: \n 
95,"Hatte ja immer gehofft, dass die #Pandemie und #Covid19 nicht mehr die Schlagzeilen bestimmen.\nAber nicht so. Nicht mit einem oktroyierten #Krieg, den niemand will."
96,"Die @username trägt Mitschuld an der Eskalation der Inzidenzen von #COVID19. Abermals wird ein gesamter ICE wegen techn. Probleme in einen anderen reingepfercht. Wir erwarten Vernunft von der Bevölkerung, aber schaffen fahrende Virusbrutkästen auf ihre Kosten. Buchstäblich. #DB"
97,"Unfassbar! Lüften bis zum grippalen Infekt, damit man bloß nicht an COVID-19 erkrankt. Diese dämlichen Paukerinnen glauben den Sch.. auch noch...Kindesmisshandlung mit voller Überzeugung "
98,Wir haben nachgefragt.\nEpidemiologe Prof. Dr. Timo Ulrichs hat geantwortet! \n\n#DritteImpfung #Covid19 
99,Ihr Tweet ist verstörend @username \nWas heißt „Viele“? Warum die Altersspanne 40-80? \nWort „Unachtsamkeit“ impliziert eigenes Verschulden durch Fahrlässigkeit! „Viele“ werden dadurch Tod+Invalidität erleiden? Das ist Unsinn! Unverantwortliche Aussagen!\n#coronavirus #COVID 
100,"Oma ist gestern im Pflegeheim an #COVID19 gestorben.PDL rief bei mMutter an&amp;fragte, ob ok wenn Corona nicht auf Totenschein vermerkt würde;wäre so viel Mehraufwand. In Absprache mit Angehörigen&amp;ÄrztInnen wird das in letzter Zeit weggelassen WTF?! #Erzgebirge #CoronaVirusDE"
101,Der Bundesgesundheitsminister fordert sofortigen Lockdown.\n\nKarl Lauterbach fordert sofortigen Lockdown.\n\nWissenschaftler fordern sofortigen Lockdown.\n\nVerband der Intensivmediziner fordert sofortigen Lockdown.\n\nAUF WESSEN RAT WARTET IHR?\nBATMAN?!\n\n#COVID19 #harterLockdownJetzt
102,Bildungs-Verband fordert weitere Corona-Maßnahmen an Schulen #Schule #Coronavirus #Lehrergewerkschaft #Infektion #Long-Covid / #Behinderung #Inklusion #Deutschland #Hilfe #News #Berlin 
103,"Wir danken noch einmal allen, die für das gelingen dieser großartigen Veranstaltung beigetragen haben. Gleichzeitig laden wir dazu ein, mit der #Sportwissenschaft gemeinsam an diesen wichtigen gesellschaftlichen Themen weiterzuarbeiten: Nachhaltigkeit, COVID19, Gewalt im Sport... "
104,Verharmlosen die Daten des Ami-RKI das Sterberisiko bei Covid19? Corona holt demnach 2 von 100 vorerkrankten Greisen. Bei fitten Altergesnossens sind es 2-3 von 10.000. Und Corona tötet 4-7 von 1 Million Teenagern. Wozu nochmal impfen?\n#Wahndemie 
105,Herzmuskelentzündung nach Impfung mit BioNTech?\n 
106,"Es war SOOOO klar, dass sich irgendwann ein Politiker erblödet, den aktuellen Rückgang für sich zu reklamieren.\n\n #covid19 #braun #bundesnotluege"
107,"Viele Brandanschläge, Molotovcocktails auf das RKI, Anschlag auf den ICE bei Stetten, Morde in Bayonne, Idar-Oberstein und Senzig. Jetzt die Entführung des Chefs der Eidgenössischen Impfkommission durch einen deutschen Verschwörungsideologen u. Impfgegner. "
108,"Die Europäische Arzneimittel-Agentur Ema hat jetzt den ersten Impfstoff gegen das Coronavirus zugelassen. Es handelt sich um ein Präparat, das das Mainzer Unternehmen Biontech zusammen mit dem US-Konzern Pfizer herstellt. "
109,"Als ich 21 war, hat mich Dr. #Wodarg unter dem Namen\nDr. Dr. Clemens Bartholdy als seinen Stellvertreter in der Behördenleitung nach #Flensburg geholt. Der damals einen Postboten von einem Psychiater nicht hat unterscheiden können, schwadroniert heute zum #coronavirus. #Covid_19 "
110,"""Beamte sagen, Kinder haben sich bei sterbenden Familienmitgliedern dafür entschuldigt, dass sie COVID-19 nach Hause gebracht haben."" Darum engagiere ich mich für #BildungAberSicher. Weil ich Kindern das ersparen möchte. Was für ein staatl. Totalversagen. \n "
111,Es gibt eine genetische Sequenzierung des Coronavirus an der Heinrich-Hertz-Schule in Hamburg. Ergebnis: Infektionen und Übertragungen haben stattgefunden. \nDie Behörde wollte die Ergebnisse dieser Studie unter Verschluss halten. Wussten davon #Bildungsminister_innen #Gebauer ? 
112,"„Jedes Mal, wenn man sich mit COVID-19 infiziert, steigt auch das Risiko für andere schwere Erkrankungen.“\n\n#COVID19 #LongCovid #Corona #BringBackMasks #SARSCoV2 #DieMaskeBleibtAuf #MECFS\n\n "
113,Fans der EU – und dazu zähle ich mich im Grundsatz – werden gerade auf eine sehr harte Probe gestellt und Fans des Brexit sehen sich bestätigt. Das ist gerade echt sehr schmerzhaft – aber totschweigen sollten wir es dennoch nicht. 
114,"wer dieses interview gelesen hat und danach immer noch glaubt, die pandemie mit „eigenverantwortung“ in den griff bekommen zu können und weiterhin der bevölkerung, statt der politik die schuld gibt, dem ist auch nicht mehr zu helfen. "
115,"Wir alle müssen das #Pflegepersonal politisch unterstützen, zB Druck machen zugunsten der #Pflegeinitiative . Klatschen war nett, hilft aber zero. "
116,"erklärt hier schon sehr beeindruckend was #Corona verursachen kann und wie gefährlich dieses #Virus ist und auch, dass es ständig mutiert, einfach klasse\nWie gefährlich ist das Coronavirus? #Spahn und #Wimmer diskutieren bei Illner via @username"
117,"Grundsätzlich könnten drei verschiedene Arten von #Medikamenten gegen das #Coronavirus helfen. Welche das sind, erklärt Markus Zeitlinger von der Universitätsklinik für Klinische Pharmakologie der MedUni Wien in unserem neuen #expertcheck. "
118,"#Impfungen in #Kuba: Vakzine aus der Karibik via @username , #Cuba #Impfstoffe #Impfstoff #Corona #CoronaPandemie #SARS_CoV_2 #Covid_19 #Biotechnologie #COVID19"
119,"NRW-Gesundheitsminister Laumann fordert uns HausärztInnen auf, jetzt mal unsere ""Akten nach chronisch Kranken durchzusehen"", die wir gegen #Covid19 impfen dürfen. Ist das der Grund, warum wir erst in 3 Wochen anfangen können? Herr Minister, das erledigen wir mit einem Mausklick!"
120,Ein sehr lesenswertes ⁦@username Interview mit Kollegen Sprenger: „Der mittel- und langfristige Schaden aufgrund unverhältnismäßiger Maßnahmen für Kinder und Jugendliche wird hierzulande noch immer unterschätzt.“ #corona #sarscov2 #covid19 
121,"#Pandemie #DE #Nebelgranaten #Politik #Wording \n\nNeulich: ""Lasst uns mal alle #Impfzentren DICHTMACHEN, die braucht eh keiner mehr.""\n\nHeute: ""Wir richten jetzt STATIONÄRE IMPFSTELLEN ein. DAS SIND KEINE 'Impfzentren'!11!""\n\n#Tja #Sigh\n\n[ "
122,"“Lockerer als derzeit werde Deutschland ohne Impfpflicht nicht mehr, das ist die Botschaft.“ "
123,"Falls ihr immer noch an eine Verschwörung glaubt: ja, klar, sogar die Amazon Bewertungen für Duftkerzen sind manipuliert.\nFür alle anderen: sogar dort findet sich der #SARSCoV2 Fussabdruck. Sensationell. "
124,"Finde, man sollte nicht vergessen, welche Rolle Finanzminister Gernot Blümel (ÖVP) beim Thema Skisaison mitten in der Corona-Pandemie spielte. "
125,Corona-Beschlussvorlage: 2G-Plus für die Gastronomie #Coronavirus #BundLänderBeratungen #Beschlussvorlage
126,"Was ich immer schon vermutete, #Söder ist infektiös! ;) \n\n "
127,"Pfizer Covid-19 vaccines begin delivery in Michigan, 12/15/2020 "
128,2% der Fälle 2020 in deutschen Kliniken sind auf Patienten mit positivem Covid19 Test zurückzuführen\n\nschrieb bereits am 16.06.21 die FAZ\n\n 
129,"Ich freue mich auf die Zusammenarbeit mit @username und diesen tollen Podcast zukünftig unterstützen zu dürfen: ""Coronavirus-Update"" jetzt mit Drosten und Ciesek "
130,"Die Stadt Hanau muss wegen der steigenden Toten, die mit oder an den Folgen von Covid-19 gestorben sind, einen Kühlcontainer nutzen. "
131,"Berner #SVP-DV läuft aus dem Ruder - Auch der Berner SVP-Gesundheitsdirektor P.A.#Schnegg sang beim Klassiker «Bärnbiet» mit.\nPolizei leitet Untersuchung ein\nAufgrund der Medienberichte untersucht jetzt die Berner Kantonspolizei, was genau vorgefallen ist. "
132,27.8. Coronavirus: Fünf Neuinfektionen im Kreis davon einer in Remagen via @ 
133,"Etwa 5% der Bevölkerung ist immunsuprimiert. Rheumamedikamente, Nierenprobleme, Krebserkrankungen spielen eine Rolle. Für diese Menschen sollte die dritte Dosis nach Abschluss der ersten Impfrunde angeboten werden. In Frankreich wird dies auch gemacht "
134,Vor-Ort-Impfaktionen ohne Termin geplant #Stuttgart #Coronavirus 
135,"Ich finde es großartig, wenn wir über den Aufbau von Hybrid-Immunität auf dem Boden einer 3x Impfung sprechen &amp; einfach ignorieren, dass ein Großteil der kleinen Kinder nicht geimpft sind bzw es noch keinen zugelassenen Impfstoff U5 bei uns gibt. Einfach egal? #SARSCoV2 #Covid19"
136,"Kant sagte: Räsoniert, aber gehorcht! Gilt dieser Leitsatz auch in Zeiten von Corona? Analyse der aufgeladenen Debatte rund um die pandemiebedingten Maßnahmen.\n #covidioten #covidiots #maskeauf  #schwurbler #demokratie #stayhome  #covid19 #lockdownlight "
137,"eine der niedrigste Quoten in Deutschland. In ganz #Bayern hatten wir 34 Covid19 Tote im gleichen Zeitraum bei rund 15.800 neuen Fällen, entspricht einer #CFR von 0,22%. \nBei 13 Mio Einwohnern. In 2 Monaten sind das 0,00042%. Oder hochgerechnet auf 1 Jahr 0,0025%."
138,Der Bundesgesundheitsminister fordert sofortigen Lockdown.\n\nKarl Lauterbach fordert sofortigen Lockdown.\n\nWissenschaftler fordern sofortigen Lockdown.\n\nVerband der Intensivmediziner fordert sofortigen Lockdown.\n\nAUF WESSEN RAT WARTET IHR?\nBATMAN?!\n\n#COVID19 #harterLockdownJetzt
