,0
16,"Dr. Hendry, moved to Canada from California largely due to Canadian Medicare:\n\n""I know we can do better. I see it every day in Canada amid the Coronavirus.\nIt is worth fighting for a system that puts public health ahead of profits.""\n\n#MedicareForAll, USA!\n\n "
17,#COVID19 vaccination is an important tool to help us get back to normal. Learn more about the benefits of getting vaccinated 
18,"#COVID19 #UAE Stats | January 1, 2022\n\n- New cases: 2,556\n- New recoveries: 908\n- New death: 1\n- Active cases: 16,365 "
19,"***MORE PUBLISHED IVM EVIDENCE: “Although several drugs received Emergency Use Authorization for COVID-19 w/unsatisfactory supportive data, #Ivermectin, on the other hand, has been sidelined irrespective of sufficient convincing data supporting its use.” "
20,"Cynical and unconstitutional: Trump might as well have directed the distribution of $100,000 to every family earning under $1 million a year. He obviously has no legal power to do that. But daring anyone to take him to court might be good politics. \n\n "
21,How many Health Care Professionals relate ? \n\n“UK nurse testifies about life on a COVID ward: “There was a general feeling that we were expendable” @username #COVID19 #LongCovid #nurse #midwive #NurseTwitter #NHS #HealthProfessionals
22,But they suspended the student who took this picture. 
23,"There have been over 10.4 million diagnosed cases of COVID-19 in the UK so far.\n\nThat's 10.4 million people who won't show up in the case stats again even if they get reinfected, because they're only counted the first time they test positive.\n\nBear that in mind for Omicron. "
24,JUST IN: New Zealand announces it has gone 100 days without detected community spread of coronavirus
25,"Brainworms. Yes, COVID-19 distinguished provincial politics. Yep, an absolutely normal take. And an insult to the absolute legends I am proud to work with. "
26,"We're days away from breaking the all-time high of COVID-19 hospitalizations in the U.S. of 132,000 on Jan 6, 2021. "
27,BREAKING: Puerto Rico’s Resident Commissioner @username just announced she’s tested positive for COVID19 making her the highest ranking official from the island to test positive.
28,GOOD NEWS PARA SA EKONOMIYA NG PINAS!\n\nThe House of Representatives will prioritize the passage of measures aimed at boosting the country’s economic recovery from the impact of the coronavirus disease 2019 (COVID-19).\n\n 
29,"The hardest part for me was over the summer. I wanted to go out and party cause my family and friends were all good. Even tho I saw the numbers and saw covid patients at work, it was hard to balance the 2 worlds. It's hard to explain. "
30,Huh ain't that something 
31,Good the other guy is back to picking up his own\ngas bill!\n\nWTFacts?\nI hate\nWe the People pay him for his time golfing in office\n&amp; downplaying #COVID19 for the rest of his life! 
32,Good morning..\nLast day of State Assembly ..\nA fruitful steating although during this Covid19 pandemics.\nWhen u got stress this is how you relax yourself. \n\n#iloveairitam @ Dewan Sri Pinang 
33,"WHOA! What. A. Get. \n\nKPBS reveals the specific locations of every outbreak between March and November. \n\nNice work, @username and @username "
34, “SUBSTANTIAL DROP” in intelligence—#COVID19 survivors suffer severe cognitive deficit. Patients hospitalised on ventilators saw the biggest drop in on intelligence tests—equal to a **7-point drop in IQ**! \nLarger than suffering stroke or lead poisoning! 
35,If you think COVID-19 is exploding now in Florida wait until schools start in a couple weeks
36,Lt. Gov. Dan Patrick tested positive last week for COVID-19 but didn’t tell Texas right away via @username
37,Excited to be live-tweeting the panel discussion about Collaborating at a Distance to Fight #COVID19 with speakers from @username @username &amp; @username and @username moderated by NIST's Anne Plant. Respondents are @username @username Rob Ivester @username 
38,"Watching @username literally drag Chris Christie was awesome. He doesn’t get to rehabilitate himself. He is corrupt, he lied about Coronavirus, he was a loyal MAGA lunatic and him getting sick was an opportunity to pretend he had a change of heart. He can shove it."
39,"""At the time, the states hit the hardest by covid-19 were New York, New Jersey, and California. . . . He was willing to let the populations of those states—home to his family and friends—get sick and die to help his father-in-law’s re-election prospects.""\n\n "
40,Your side incites hate and promotes White Supremacists calling them very fine people. While attacking Asians and calling #COVID19 the Chinese Virus.
41,COVID-19 outbreaks on fur farms pose a major threat to public health. It’s grossly irresponsible to allow this industry to continue. #BanFurFarmsBC @username @username @username @username @username @username
42,Monica Lennon warks* the truth about cancer death in a time of coronavirus via @username
43," The CDC no longer recommends asymptomatic testing, even post-exposure. \n "
44,"Engineers have designed a small device that can detect Covid-19 from a saliva sample in an hour. The device can be assembled for about $15, is as accurate as PCR tests, and can be repurposed “quite quickly” to detect new variants, James Collins says. "
45,Many #remotejob opportunities for #Assistant on our website #Job #Careers #work #quotes #business #monday #jobs2020 #help #COVID19 #remote #hiring #employment #remotework #jobsearch #workout #WorkFromHome #Jobs #internet #mondaythoughts 
46,#NEW: The Canadian border will be opening up for nonessential travel to fully vaccinated Americans beginning August 9. Visitors must be vaccinated for at least 14 days and show proof of vaccination in order to cross the border. #ntTV #COVID19
47,Some rich countries have ordered enough #COVID19 vaccine doses to vaccinate their entire country 3X over! Tell leaders to urgently share surplus doses w/ countries in need. #EndCovidEverywhere 
48,"Janice Dean finally testifies on NY nursing home deaths, demands full investigation 'with subpoena power' | Fox News "
49,This renowned expert? best not to listen to him then.
50,Renound #Andolanjivi is merely found in the role of.. \n\n Lawyer..during rafael \n Doctor.. during covid19\n Inspector..during JNU\n\nStill more to come..\n\n@username @username for fun only.. \n 
51,"Well, that was quick. \n\nNot even a full week in and 9 people tested positive at the Georgia school in the viral photo \n\n "
52,Another COVID-19 death... 
53,"Well Chip, they’ve got to be pretty stupid not to mention oblivious to #COVID19, the #MuellerReport &amp; @username own #Volume5-damning in it’s own right. Even if one ignores the treason reports,the handling of Coronavirus says so much. \nSo,me! "
54,Victoria breaks another COVID-19 new case record 
55,Never forget. This is what people had to endure because of Hancock. 
56,"With changes to #COVID19 measures in England, Scotland, Wales and Northern Ireland, faith communities are continuing to encourage caution. Here, for example, @username doing so in the context of #EidAlAdha which is being celebrated by Muslims today/tomorrow. "
57,How can we clean and disinfect to prevent the spread of #COVID19 and other viral respiratory illnesses? CTEH experts are helping us navigate the @username latest guidance: 
58,Maybe I'll go stand in a line with a ton of people while I think I have COVID19.. smh
59,Feds won't cite King Soopers for safety violations at Denver store where 3 workers died from COVID-19 via @username
60,If you care so much about indigenous people why are you silent on what India is doing in Lakshadweep? You refused to comment on it &amp; GOM gave a blind eye. #SaveLakshadweep 
61,"""Even if we had 100% vaccine uptake with these vaccines…we would not be able to stop the spread of the virus through the US population. We would slow it.""\n \nmRNA vaccine pioneer @username breaks down the latest data on #COVID19 #Vaccines. \n \n WATCH: "
62,Public health pandemic 'alert' system didn't operate as intended for COVID-19: report 
63,"What I find funny is that on the 'Exercise' chart the GenX line is just... missing...\n \n""Hey... fuck you... if I Do exercise I'm not going to tell YOU about it."" "
64,Government: COVID-19 is still a threat. \nJamaicans: Wear mask at party. Kmt.\nGovernment Response: 
65,"Cargill is temporarily shutting down its beef processing plant in Guelph, Ontario after some employees tested positive for Covid-19 "
66,"The Nation at War , Armed Forces mobilize their logistics muscle.\n\nFerrying Oxygen Containers, Health Staff. \n\n @username Packs a Punch in India's #COVID19 Battle\n\n@username "
67,"Saket Gokhale Filed an intervention application in the SC's suo moto case on #COVID19 \n\nHe prays that #HarishSalve be replaced as Amicus Curiae owing to conflict of interest, proximity to the govt, and his being non-resident in India.\n@username "
68,GOPer Bill Cassidy tests positive for Coronavirus after months of trying to pretend it isn’t that big of a big deal.\n 
69,Canada’s ICUs see near-record of COVID-19 patients last week as variant cases double 
70,"Virtual conventions must be here to stay for .@username forced it, and we now know it works effectively.\nThe #ClimateEmergency demands it going forward.\n#DemConvention2020\n#BidenHarris2020\n#BidenHarrisToSaveAmerica\n#BidenHarrisToEndThisNightmare "
71,More than 500 Ontario doctors are asking the Doug Ford government to keep schools open despite the rapid spread of the COVID-19 Omicron variant.\n\n 
72,Absolutely bonkers that the US is prioritising vaccinating a healthy 31 year old in the first week of rollout. 
73,"The United States’ failure to contain the spread of the coronavirus has been met with astonishment and alarm in Europe, as the world’s most powerful country edges closer to a global record of 5 million confirmed infections. "
74,Really sorry to hear that. \nRest In Power \n\nFREE OUR LEADERS \n#ReleaseAllPoliticalPrisoners #WhatsHappeningInMyanmar #July20Coup 
75,Just give them childcare: The COVID-19 pandemic as a natural experiment in parenting practices\n\n 
76,FACT: Coronavirus deaths have dropped 90% since Joe Biden has been in office.\n\nPlease spread this.
77,"No, let me correct the headline: ""Sixth consecutive drop in coronavirus cases puzzles pro-lockdown scientists."" For scientists who understand infectious disease epidemiology, this is not surprising. "
78,"Daniel ‘Coronavirus isn’t going to kill you’ Hannan’s peerage has been announced on the day that the UK’s death toll reached 68,307. \nSeems to sum things up perfectly."
79,"Hypocrites! President Chakwera, cabinet minsters snub COVID-19 measures at Simbi Phiri's wife birth party,,, "
80,"Body bags piled up on the steps of the FDOC office, after the memorial on the steps of the State Capitol building in Tallahassee. Over 80 people have been reported dead from COVID-19 in state prisons, and the numbers keep rising. "
81,You need but look at the lines and packed arenas at Trump rallies to determine that he is winning by a landslide. \n\nThe Democrat play was always to use to COVID-19 to explain Biden’s lack of support—followed by fake polls and forged mail-in ballots to attempt an election steal.
82,A new study finds your odds of testing positive for COVID-19 are 83% lower if wearing an N95 or KN95 mask while indoors compared to no mask. 
83,"FAKE NEWS! There were no deaths due to Covid in India. In fact, there were no deaths in India during the second wave. This led to a rise in population, due to which the population control bill was proposed.\n\nDeniers are jealous of Indians becoming immortal under BJP rule. "
84,Biden just called out Trump for his catastrophic coronavirus response and said what he’s done is “unforgivable.” Absolutely.
85,One in ten care homes DNRs 
86,COVID-19 vaccination does not cause infertility. 
87,Seven questions to determine if a project is right for AI \n \n\n#MachineLearning #DataScience #Python #AI #100DaysOfCode #innovation #IoT #flutter #javascript #Serverless #CyberSecurity #tech #DDoS #DeepLearning #fintech #COVID19 #data #RPA #IIoT #5G #Cloud
88,"We can confirm an application has been submitted for the postponement of Thursday’s Carabao Cup semi-final, first-leg tie with Arsenal due to an escalating number of suspected positive COVID-19 cases and player availability."
89,[Notice] BTS RM and Jin’s Full Recovery from COVID-19 
90,"Especially if people full of COVID are driving around to test their eyesight, right? "
91,"Sooner or later, we will find a way to get past the coronavirus but this deep-seated prejudice, this sickness, that so many suffer from will be far more difficult to overcome."
92,And this shows you are a tinfoil-hatter imbecile and a mouth-breathing headline-surfer! \n #COVIDIOT #TinFoilHat #vaccine #antivaxxers 
93,I can not believe boris Johnson going on holiday for a week when you got NHS and care workers not able to have a day off due to covid19 and there is still lots to do and goings on unreal not management player at all\nUK needs a team player not a lazy player 
94,I’m thankful for scientists everywhere. And not just because my daughter is one. We are all lucky to have these hard working people who make up the companies trying to save our lives. 
95,Brilliant General Surgeon consultant Neil is happy because he’s operating today &amp; he loves operating! Its been frustrating not being able to operate on as many of our patients as we would like because of the restrictions introduced because of COVID-19 but we are trying to address 
96,Every state has high transmission. This is good. Shows unity.\n\n90 minute livestream stand-up shows. Pay what you want.\nThur Dec 30 3pm NYC/8pm UK Dec 31 9pm ET Jan 1 9pm ET 
97,I received our first COVID19 Pfizer vaccine!!!!!!!! 
98,becomes the first commercial airline to fly the first #USFDA-authorised #COVID19 vaccines to the #USA 
99,"Omg Kamala just said with a straight face “The Coronavirus is racist and knows how we see and treat each other” and tied it into George Floyd, racism and police brutality\n\nTHEY’RE NOT EVEN HIDING IT ANYMORE"
100,A nearly inevitable conclusion when you promise silly things like CRUSHING DA VIRUS 
101,"An improving public health picture thanks to more #coronavirus vaccine administration, bets of a $1.9 trillion fiscal stimulus package, and hopes of a robust economy in weeks ahead continue to support the stock market and U.S. indices. \n\n #indices "
102,Happy Sunday bus riding! 
103,"Our new ad campaign, to help prevent #COVID19 deaths and hospitalizations. "
104,"Wearing masks in public can help stop the spread of #COVID19, but masks won’t protect you from #wildfire smoke. Limit your time outside when it’s smoky. Learn more: "
105,COVID-19 has killed 1 in 475 Native Americans 
106,Texas wedding photographer tests positive for COVID-19 after groom hides diagnosis #Photographer #photo via 
107,OPINION: Drakeford attitude towards the 'people of Wales intolerable and unacceptable' \n\n 
108,"Our medicine resulted in 69% of coronavirus patients testing negative after three days and 100% after seven days,"" he said...... @username @username @username @username @username"
109, we are close to being evicted we didn’t even get a fair fighting chance thanks to COVID-19 to make our American dream a reality any help is appreciated #gofundme #gofundmeplease #Funding #support #gofundmecampaign #help
110,Check out @username and the work that they are doing for their LGBTIQ community during #COVID19! 
111,I swear we are fighting two pandemics coronavirus and stupidity.
112,"His spin-doctors have already advised him that the child died on purpose, to hurt his reelection. "
113,COVID-19 Updates: India reports over 3 lakh new cases amid oxygen crisis\nGUPPIES TOTALLY FAILED RUINED INDIA
114,2020:i aint leavin yall just like that bitch 
115,"18/19 ...The Government has said that we must learn to ‘live with covid’. That means they must fully recognise the extent, length and cost of the impact of covid-19 on the NHS. We must not pretend that this impact doesn’t exist or is smaller than it really is."
116,Federal probe into nursing home COVID-19 death coverup circles closer to Cuomo via @username
117,"If you have or think you have #COVID19, avoid contact with animals, including pets, to protect them from infection. Learn more: #OneHealth "
118,"COVID-19 entered nearly a dozen Manatee County, Florida schools during students’ first week. Secretary of Education @username just said on Fox News he would terminate any teachers that failed to show up due to COVID-19 "
119,"Today, I received the COVID-19 vaccine.\n\nTo the scientists and researchers who worked tirelessly to make this possible — thank you. We owe you an awful lot.\n\nAnd to the American people — know there is nothing to worry about. When the vaccine is available, I urge you to take it. "
120,That’s not true. \n\n 
121,"35 appointments available at Publix, 1700 NE Miami Gardens Dr\n#COVID19 #vaccine #Miami"
122,Inspirational for all women 
123,House Speaker Pelosi 'optimistic' on coronavirus relief deal before U.S. election 
124,Really hope Covid-19 does a 'new year new me' &amp; faaaacks off!
125,"are saying the AstraZeneca Covid19 vaccine Nigeria received is different from the ones France, Netherlands, Italy and others halted ??? "
126,#BREAKING Belgium minister announces first case of new Covid-19 variant in Europe 
127,"The Mansehra district administration sealed all hotels in tourist hotspots Shogran, Naran and Kaghan after several Covid-19 cases were reported among staff working at different hotels.\n\n "
128,gives zero fucks 
129,"And with that, it appears (at least for the moment) that the Beavers will go almost three weeks between games. "
130,"Every American left and right should be calling for a #VETO of this stimulus “deal”— which provides MORE funding to foreign governments and to American arts centers, than to the American people. \n\nRETWEET so EVERY American sees how corrupt the Covid-19 “relief” packing is. "
131, “Walmart and Kroger are raising the prices for at-home rapid COVID-19 tests after a deal with the Biden administration expired last month.” 
132,"SCOOP: Trump administration conditioned billions of $$ in coronavirus relief aid for hospitals this spring on reporting to a private vendor, TeleTracking, that bypassed CDC. \n\nHospitals balked. Leaked emails show one HHS official said: “What a mess.” "
133,LeaveEU’s Andy Wigmore - currently at his ski chalet in Switzerland - announces he’s got into the COVID-19 testing business. And has been approved by the UK govt. 
134,"It should sicken EVERY American that on the same day America reached 5 million COVID-19 cases, trump held a press briefing from HIS OWN golf course to announce his plan to defund Social Security and Medicare to the fucking sound of applause.\n\nI'M SO SICK OF THIS SHIT."
135,“Johnson &amp; Johnson's coronavirus vaccine is facing a double dose of problems. Georgia is the third state to temporarily shut down a vaccine site after eight people suffered adverse reactions to the shot. “ 
136,"As we approach 220,000 souls lost to the #coronavirus, it’s tragic that the President and Mitch McConnell have yet to get serious about their duty to provide relief #ForThePeople and to contain the pandemic.\n\nMany lives can still be saved with a course correction — right now. "
137,"BREAKING: People without symptoms carry just as much virus in their nose, throat and lungs as those with symptoms, and for almost as long. We’ve suspected this, but here is solid proof from a big study.\n\n "
138,“Fifteen staff members in the Miami-Dade County Public Schools District have died from COVID-19 in the past 10 days.”\n\nWhen will the national media hold DeSantis responsible for the carnage he caused in Florida? 
139,"EDUCATION TAKES A BACKSEAT OWING TO COVID19 \n\nView this report from Dharavi where parents of Children attending BMC schools speak to @username Shutting down schools, they say will impact education as most struggle with affording smartphones that enable #onlinelearning. "
140,"Siaya Senator James Orengo on Sunday, August 23 sided with Deputy President William Ruto after condemning the ODM statement on Covid-19 graft.\n\n "
141,"LITTLE ROCK, Ark. (AP) -- Arkansas reports largest number of COVID-19 hospitalizations in state since pandemic began as virus surge continues."
142,"Daily report of #coronavirus in #SaudiArabia :\n\n- 447,178 cases \n- 429,663 recoveries \n- 7,320 deaths\n\n@username \n#COVID19 \n\n "
143,"Journalist’s duty is to inform, not to exploit human suffering with intrusive, voyeuristic, ratings-driven coverage of tragedies in faraway lands.\nWith the coronavirus rapidly mutating, urgently need more responsible, sensitive reporting of these issues.\n "
144,So Covid-19 got renewed for another season. #COVID20 
145,"58 people tested positive for COVID-19 from just 1 Starbucks located in Paju in South Korea, but no worker got infected. None. Zero.\nAll workers were wearing masks &amp; sanitary gloves properly.\nIf both sides wear masks, the infection rate drops down to 1.5%.\nPLEASE WEAR A MASK. "
146,"for Marcus ( Joy Villanueva’s son) \n\nhi a simple rt can help. please help our schoolmate, Marcus, for he is hospitalized because of viral encephalitis and acute resp. failure due to covid-19 since December 2. more info on the link. thank you so much!\n\n "
147,Borno opens 87 sites for COVID-19 vaccination 
148,"the Q people are going crazy in my mentions over this announcement, and i don't think i have it in me to get even try getting to the bottom of this one "
149,"Keeping Covid19 outbreak in mind, the EC has restricted door to door campaigning to be done by not more than 5 people in a group during elections.\n\nBut at the same time, lakhs of students should travel to far away places &amp; appear for JEE-NEET? Wow!\n\n#INDIAunitedtoPostponeJEE_NEET"
150,"JUST IN: Public Health Ontario reports 3 new cases of COVID-19 in Ottawa, 299 across the province.\n\nThe provincial figure is inflated by about 90 cases due to a Toronto data dump. #ottnews #onpoli"
151,"In Tigray, Many families have yet to fully recover from the devastating effects of the COVID-19 pandemic, on the top that they are severely affected by the war and siege. \n#EndTigraySiege #TigrayFamine\n@username @username @username \n "
152,Where are we going with this COVID-19 in 2022??
153,Carlyle and Warburg Pincus told employees they’ll require Covid-19 vaccinations to return to the office in September 
154,More info\n\nEffectiveness of Ivermectin-Based Multidrug Therapy in Severe Hypoxic Ambulatory COVID-19 Patients | Request PDF 
155,9/5 In speech this morning at @username @username director Chris Wray says CCP specifically approached local politicians to endorse its COVID lockdowns.\n\n 
156,"1) OBVIOUS: China's COVID-19 restrictions are making it really, really difficult for external visitors to head into China. LESS OBVIOUS: Reduced outflow of Chinese academics/civilians who can travel freely abroad given the inbound quarantine; a bolstered siege mindset in CN."
157,"ICUs are full, hospitals are doing triage, #COVID19 is overwhelming entire medical systems --- but suddenly, data is disappearing. Some Governors think the best way to minimize the #pandemic is to stop posting numbers of sick and dead on official websites.\n "
158,#COVID19 | Follow #COVIDAppropriateBehaviour - SMS to end #coronavirus! \n\nS → Maintain a safe distance \nM → Wear your #mask properly \nS → Frequently wash/sanitize your hands with soap \n\n#Unite2FightCorona 
159,"When you’re indoors with others, open windows regularly to disperse #COVID19 particles.\n\nLearn more "
160,\nThe American People deserve better.\nWhen clocking into work feels more like a death sentence cause of COVID-19\n\nIt's time for the people of America to say No More! \nStand up for yourself and be heard! \nWe're tired of living life like this! \nWe deserve better!
161,Los Angeles has opened COVID-19 vaccine appointments to people aged 16 and older. 
162," HOLY COW—""In a *young, low-risk* population with ongoing #COVID19 symptoms, almost 70% of individuals have impairment in 1 or more organs 4 months after initial symptoms of #SARSCoV2 infection"" \n\n This is serious. It’s a young population too. #LongCovid\n "
163,You know what’s killing TMJ? Its SS being continuously nice towards him 
164,"The friendship between India and Russia has stood the test of time.\n\nMost recently, it was seen in our robust cooperation during the COVID-19 pandemic, including in the area of vaccines: PM @username"
165,#SoCalTelevision #Alert &gt;&gt; Facemasks could potentially return as L.A. County continues seeing a troubling rise in respiratory illness including COVID-19 and RSV infections among children.\nhtt Want more info? visit and FOLLOW @username
166,"1/4: Interesting observation: New Hampshire leads the nation in COVID19 immunizations, almost one-half of the population has received a single dose of vaccine, yet the cases continue to rise, currently one of the most affected areas of the US. Some hypotheses why:"
167,"""Much of California has exhausted its usual ability to staff intensive care beds, and the nation’s most populated state is desperately searching for 3,000 temporary medical workers to meet demand.""\n "
168,"OMG! Who did this?!?! Best 2 minutes of your day, week, month, maybe year. \n\n#WearAMask #SleepingBeauty #COVID19 #Masks #MasksSaveLives "
169,"Ontario is reporting 658 cases of #COVID19 as nearly 40,900 tests were completed. Locally, there are 197 new cases in Toronto, 155 in Peel, 94 in York Region and 66 in Ottawa. There are 685 more resolved cases."
170,"Last week, Immediate-past AMA president, @username testified at a recent Senate hearing on obstacles to end the #COVID19 pandemic. Tune in to hear from Dr. Susan Bailey and learn more about the Senate hearing. "
171,Woooow this makes me wonder how many influencers rent “their” mansions. 
172,"Jet2 has called for “openness and transparency” on Covid-19 data so the travel industry can ""better understand decisions"" made "
173," BREAKING—Hospitalizations for #COVID19 has spiked up 72% in just 8 days, according to latest UK govt data. This follows a surge in #B16172 cases. Deaths have also begun to increase. UK is among the most vaccinated countries, with ~57% with at least 1 dose, and 35% fully. "
174,"JUST IN: New Brunswick health officials will hold a rare, unscheduled weekend update on COVID-19 at 3:30 p.m. #COVID19NB"
175,My latest article in @username on the race to come out with a vaccine against #Coronavirus. This is about #Russia's latest EpiVacCorona vaccine. Thanks to @username editorial support.\n 
176,“Covid19 Medical Staff. Thank You. Love you” \n 
177,Bullshite. Zero risk for the jabbed. Low risk for unjabbed “Most people infected with the virus will experience mild to moderate respiratory illness and recover without requiring special treatment”\n 
178,Can someone put that new version of coronavirus in a petri dish and squirt it with some vaccine and tell me how scared I should be?
179,Weekly reminder that #COVID19 has a death ratio well below 0.3% and that everyone has lost their minds.
180,Rebuild your immunity at home.\n\n#WorldOfHyatt #HimachalPradesh #Dharamshala #HyattRegency #HyattRegencyDharamshala #HyattRegencyDharamshalaResort #Wellbeing #HealthyLiving #PostCovidCare #Covid19 #Health #ShantiSeva #ShantiHospitality #SHGHotels #DoingOurBit 
181,"Shutdowns have ruined so many enjoyable things in life like going to a game.\n\nRules like no cheering and don’t go to the bathroom are absurd.\n\nBut the cardboard cutout fans are the biggest insult.\n\nBasically, this could be you, but it’s not because #COVID19.\n\n#ReOpen\n#Freedom"
182,"In the middle of a devastating second wave of the coronavirus pandemic, there is one ‘essential service’ that is still continuing - the Central Vista Project.\n\n.@username breaks down what this project is and how it is able to continue amid the pandemic.\n\n "
183,White House coronavirus task force warns against small gatherings as President Trump ignores precautions by hosting rallies with thousands 
184,"On @username watch, 324,869 Americans have died from #COVID19 (19.1% of all deaths worldwide). That is about the same as 3,821 MGM Grand fires which killed 85 people in 1980: "
185,Canada's hotel quarantine program is half-assed and never made sense and should've been abandoned months ago 
186,"UK reported 23k new #COVID19 cases yesterday, the highest level since late January, meanwhile outside Wembley right now... "
187,"A CBS poll indicates that 57% of Republicans believe the 176k Coronavirus deaths to be ""acceptable"" losses. \n\nIt's been clear for decades that the GOP is fine with letting the most vulnerable people in our nation suffer &amp; die unnecessarily, but this is still stark &amp; disgusting. "
188,"#Libya - More than 70 per cent of #migrants entering Europe via sea from Libya are not in need of ""international protection"", says #UNHCR special envoy Vincent Cochetel. #migrantcrisis #frontex #seenotrettung #COVID19 "
189,This is how the coronavirus might become endemic 
190,#GendarmerieDuRhone - [RESTRICTIONS #COVID19] #InfoFlash 
191,"well this is a step in the right direction. Hope is not a substitute for data. \n\nNYT: ""Federal regulators warned on Thursday they may not have enough data to recommend boosters for anyone except certain recipients of the Pfizer vaccine by late September.""\n\n "
192,"""Coronavirus gain-of-function research is another example of the insufferable hubris that infects morally careless scientists, and we are all the losers as a consequence,"" Dr. Joel Zivot, Emory University #OriginsOfCovid"
193,A daily update of new COVID-19 cases and deaths in Kane County 
194,I received our first COVID19 Pfizer vaccine!!!!!!!! 
195,"Co-live and Co-work Spaces Amidst COVID\n\nIn a noticeably short time, Covid-19 has hit the world economy leaving a lasting impact on the property sector worldwide.\n\n#spiz #market #millennials #coliving #colivingspace #coworking #coworkingspace #professional #cowork #colive "
196,"Apparently COVID-19 only spreads in Brampton if you're a member of the public at a city arena, where U have to wear a mask, as opposed to renting it privately, where you don't: Brown responds to Rebel News video alleging he broke Brampton’s COVID-19 bylaw"" "
197,Boston health care workers dancing on the sidewalk to celebrate the arrival of the first covid-19 vaccine. \n 
198,"After terrorist assholes hit the World Trade Center, 2,606 people died. The country came together: Democrats AND Republicans. Now 57% of Republicans call 176,000 dead from COVID-19 ""acceptable losses?"" What happened to you, America?"
199,"India on Monday said its vaccine production and delivery extent will be used to help everyone fighting the Covid-19 crisis, something which has brought forward gaps in global cooperation\n "
200,Alternate headline: The country's medical infrastructure has completely collapsed. A doctor had to travel 180 kms to treat his patients. \n\nDo not put lipstick on a pig. 
201,"""Eleven of the 14 cases were over the age of 60, and the remaining three were immunocompromised individuals under 60, the network said."""" Some 420,000 Israelis have been administered a third booster shot so far, in a drive that began last week."" "
202,"COVID-19 booster shots increase antibody levels by more than 20x — providing a high degree of protection against severe illness with Omicron.\n\nGet your shot today, folks."
203,Infectious Diseases and Epidemics Article from the January-February issue of SAEM Pulse: Emergency Departments Can Bolster Influenza and COVID-19 Vaccination Programs #SAEMPulse\nRead Online: 
204,"#bbcaq - #partygate - During the whole of the #covid19 period, I did not meet in groups of people. I took this to be my national duty to stop the spread of #covid19 as a collective effort. Why didn’t #johnson &amp; his government feel it was their national duty to do likewise."
205,"Don’t worry America, while Dems block relief for YOU—President @username will ALWAYS have your back, as he just signed four Executive Orders on CoronaVirus Relief...\n Extending Unemployment Benefits\n Preventing Evictions\n Extending Student Loan Relief\n Payroll Tax Cuts "
206,"The owner of a Missouri taxi company said his transportation service will not pick up passengers who wear masks or have received the COVID-19 vaccine, despite a surge of new cases in the state. "
207,alhamdulillah received a good news today...bestfriend of mine (in Sandakan) recovered from Covid19... praise to Allah...
208,Comprehensive study: Fauci’s ‘standard of care’ COVID-19 treatment doesn’t work. 
209,"The affidavit executed, is applicable pan India. \n@username \n@username \nRequest the concerned to withdraw the enclosed order. Also with a recovery rate of 97%++, can one treat COVID-19 as a communicable disease, request @username @username to clarify.\n@username "
210,What would Malaysia’s ministers look like in their vaccine photo op? 
211,The Ontario Science Table [@username has recommended that 50% of all available vaccines go to hotspot neighbourhoods with the highest rates of #COVID19.\n\nRT if you agree the Ontario government should immediately do this to save lives.
